#events  #background  #signal       #bin_size        #bkg_err   
140642  132100         8.84        30                4000          
73114   69900           7.2        30                2200
38321   36800           5.4        30                1100
21417   20780           4.22       30                630
12525   12340           3.03       30                400
9515    9160             2.37      40                320
5174    5100             1.93      40                200
2947    3000             1.33      40                120
1777    1763             1.00      40                79
1021    1032             0.85      40                48
694     683               0.61     40                37
554     554               0.56     50                28
339     322               0.37     50                19
196     178               0.34     50                13
123     122               0.25     50                8
80      74.5               0.18    50                6.6
68      77.8               0.12    60                7.2
37      38.4               0.08    60                4.8
23      25.1               0.07    60                3.4
12      21.1               0.06    70                3.0
7       9.4                 0.04   70                1.9
26      22.6               0.06    80                3.0
