no_correlation                                correlation
x     y                                  x          y
-1.58 6.09                              -2.72          6.08
-1.56 6.01                              -2.67          5.70
-1.55 5.94                              -2.60          5.32
-1.53 5.73                              -2.54          4.96
-1.49 5.48                              -2.50          4.73
-1.47 5.31                              -2.46          4.45
-1.42 5.08                              -2.38          4.13
-1.39 4.88                              -2.26          3.51
-1.38 4.74                              -2.10          2.81
-1.34 4.54                              -1.97          2.26
-1.28 4.16                              -1.84          1.78
-1.20 3.75                              -1.70          1.31
-1.14 3.46                              -1.61          1.07
-1.08 3.10                              -1.54          0.91
-1.01 2.86                              -1.47          0.76
-0.91 2.30                              -1.38          0.55
-0.83 2.00                              -1.30          0.40
-0.71 1.65                              -1.22          0.30
-0.67 1.48                              -1.14          0.20
-0.62 1.31                              -1.07          0.13
-0.56 1.10                              -0.81          0.02
-0.49 0.93                              -0.63          0.06
-0.45 0.86                              -0.50          0.14
-0.39 0.71                              -0.39          0.26
-0.35 0.62                              -0.32          0.37
-0.29 0.49                              -0.19          0.55
-0.20 0.35                              -0.08          0.79
-0.12 0.25                              -0.01          0.91
-0.06 0.16                               0.14          1.31
-0.05 0.08                               0.25          1.63
0.22 0.02                                0.35          1.97
0.30 0.04                                0.45          2.30
0.41 0.08                                0.54          2.60
0.49 0.14                                0.69          3.24
0.59 0.26                                0.84          3.94
0.71 0.47                                0.95          4.50
0.82 0.62                                1.06          5.05
0.89 0.81                                1.24          5.88
0.97 1.01                                1.34          6.55
1.09 1.31                                1.42          7.07
1.16 1.56                                1.55          7.82
1.28 1.90                                1.67          8.71
1.33 2.13                                1.80          9.44
1.43 2.55                                1.85          9.85
1.51 2.86
1.59 3.17
1.68 3.66
1.79 4.16
1.88 4.73
1.99 5.29
2.10 5.97
2.16 6.28
2.25 6.89
2.32 7.41
2.39 7.96
2.47 8.52
2.56 9.10
2.64 9.80

